seed,variant,kcbs_anchor_sum,kcbs_anchor_excess_over_2,kcbs_event_rate_mean,kcbs_event_rate_sd,single_marginal_drift,pm_parity_accuracy,pm_parity_error
20260708,full_membrane_anchor,2.28515625,0.28515625,0.45703125,0.018814992,0.011592965,0.861979167,0.138020833
20260708,additive_boundary_anchor,1.64453125,-0.35546875,0.32890625,0.021875,0.011516954,0.61328125,0.38671875
20260708,same_marginals_replay,1.60546875,-0.39453125,0.32109375,0.017009016,0.011571802,0.604166667,0.395833333
20260708,shuffled_context_anchor,2.0859375,0.0859375,0.4171875,0.019358612,0.011578494,0.680338542,0.319661458
20260708,noncontextual_hidden_state_fit,1.77734375,-0.22265625,0.35546875,0.016200345,0.011743941,0.634765625,0.365234375
20260708,strong_classical_anchor_baseline,1.86328125,-0.13671875,0.37265625,0.01453209,0.011472666,0.705729167,0.294270833
20260709,full_membrane_anchor,2.25390625,0.25390625,0.45078125,0.026331718,0.011391503,0.871744792,0.128255208
20260709,additive_boundary_anchor,1.51953125,-0.48046875,0.30390625,0.044428335,0.011122502,0.614583333,0.385416667
20260709,same_marginals_replay,1.6640625,-0.3359375,0.3328125,0.042961647,0.011869751,0.599609375,0.400390625
20260709,shuffled_context_anchor,2.08203125,0.08203125,0.41640625,0.025507543,0.011493326,0.662760417,0.337239583
20260709,noncontextual_hidden_state_fit,1.68359375,-0.31640625,0.33671875,0.031964488,0.011593079,0.639322917,0.360677083
20260709,strong_classical_anchor_baseline,1.8828125,-0.1171875,0.3765625,0.02440703,0.011664761,0.699869792,0.300130208
20260710,full_membrane_anchor,2.234375,0.234375,0.446875,0.003983609,0.011602601,0.867838542,0.132161458
20260710,additive_boundary_anchor,1.62890625,-0.37109375,0.32578125,0.031888018,0.011739748,0.625,0.375
20260710,same_marginals_replay,1.515625,-0.484375,0.303125,0.017746589,0.011410697,0.604817708,0.395182292
20260710,shuffled_context_anchor,1.94921875,-0.05078125,0.38984375,0.042461495,0.011078874,0.672526042,0.327473958
20260710,noncontextual_hidden_state_fit,1.7734375,-0.2265625,0.3546875,0.018221725,0.011625805,0.634114583,0.365885417
20260710,strong_classical_anchor_baseline,1.83984375,-0.16015625,0.36796875,0.03391021,0.011481804,0.699869792,0.300130208
20260711,full_membrane_anchor,2.359375,0.359375,0.471875,0.038622522,0.011228366,0.8515625,0.1484375
20260711,additive_boundary_anchor,1.625,-0.375,0.325,0.023228232,0.011567402,0.599609375,0.400390625
20260711,same_marginals_replay,1.43359375,-0.56640625,0.28671875,0.026331718,0.011512718,0.628255208,0.371744792
20260711,shuffled_context_anchor,2.015625,0.015625,0.403125,0.02028243,0.011701284,0.660807292,0.339192708
20260711,noncontextual_hidden_state_fit,1.6640625,-0.3359375,0.3328125,0.021165964,0.011781496,0.634765625,0.365234375
20260711,strong_classical_anchor_baseline,1.859375,-0.140625,0.371875,0.028641098,0.011232968,0.705729167,0.294270833
20260712,full_membrane_anchor,2.23046875,0.23046875,0.44609375,0.031580286,0.0113893,0.845703125,0.154296875
20260712,additive_boundary_anchor,1.74609375,-0.25390625,0.34921875,0.017222975,0.011580078,0.627604167,0.372395833
20260712,same_marginals_replay,1.453125,-0.546875,0.290625,0.033384157,0.011987942,0.619791667,0.380208333
20260712,shuffled_context_anchor,2.0703125,0.0703125,0.4140625,0.026493476,0.011849297,0.647135417,0.352864583
20260712,noncontextual_hidden_state_fit,1.8359375,-0.1640625,0.3671875,0.020372508,0.011488486,0.661458333,0.338541667
20260712,strong_classical_anchor_baseline,1.875,-0.125,0.375,0.027399497,0.011329152,0.698567708,0.301432292
