seed,variant,kcbs_witness_sum,kcbs_excess_over_bound,kcbs_event_rate_mean,kcbs_no_disturbance_max_abs,pm_parity_accuracy,pm_excess_over_bound,pm_no_disturbance_max_abs
20260708,full_witness_table_anchor,2.245897105,0.245897105,0.449179421,0.0,0.921831024,0.08849769,0.0
20260708,additive_boundary_table,1.57838014,-0.42161986,0.315676028,0.0,0.615718879,-0.217614454,0.0
20260708,same_marginals_independent_table,1.23932787,-0.76067213,0.247865574,0.0,0.607703948,-0.225629386,0.0
20260708,shuffled_context_table,1.972011961,-0.027988039,0.394402392,0.0,0.688122234,-0.1452111,0.0
20260708,noncontextual_hidden_assignment_fit,1.716099759,-0.283900241,0.343219952,0.051623972366,0.80759021,-0.025743124,0.0
20260708,strong_classical_table_baseline,1.877869052,-0.122130948,0.37557381,0.0,0.810255458,-0.023077875,0.0
20260709,full_witness_table_anchor,2.298407156,0.298407156,0.459681431,0.0,0.929820447,0.096487113,0.0
20260709,additive_boundary_table,1.594722873,-0.405277127,0.318944575,0.0,0.613916536,-0.219416798,0.0
20260709,same_marginals_independent_table,1.244816396,-0.755183604,0.248963279,0.0,0.604482831,-0.228850502,0.0
20260709,shuffled_context_table,2.007016311,0.007016311,0.401403262,0.0,0.722265035,-0.111068298,0.0
20260709,noncontextual_hidden_assignment_fit,1.744226333,-0.255773667,0.348845267,0.052975020998,0.794115664,-0.039217669,0.0
20260709,strong_classical_table_baseline,1.841314715,-0.158685285,0.368262943,0.0,0.808640338,-0.024692996,0.0
20260710,full_witness_table_anchor,2.195995307,0.195995307,0.439199061,0.0,0.912330182,0.078996848,0.0
20260710,additive_boundary_table,1.621812691,-0.378187309,0.324362538,0.0,0.615769608,-0.217563725,0.0
20260710,same_marginals_independent_table,1.240237002,-0.759762998,0.2480474,0.0,0.602942868,-0.230390466,0.0
20260710,shuffled_context_table,1.979883192,-0.020116808,0.395976638,0.0,0.700577647,-0.132755686,0.0
20260710,noncontextual_hidden_assignment_fit,1.719872313,-0.280127687,0.343974463,0.052310188999,0.804437643,-0.02889569,0.0
20260710,strong_classical_table_baseline,1.883811628,-0.116188372,0.376762326,0.0,0.819521325,-0.013812008,0.0
20260711,full_witness_table_anchor,2.223721916,0.223721916,0.444744383,0.0,0.914981602,0.081648269,0.0
20260711,additive_boundary_table,1.61016546,-0.38983454,0.322033092,0.0,0.645525662,-0.187807671,0.0
20260711,same_marginals_independent_table,1.237614631,-0.762385369,0.247522926,0.0,0.606630863,-0.226702471,0.0
20260711,shuffled_context_table,1.976098854,-0.023901146,0.395219771,0.0,0.686506984,-0.14682635,0.0
20260711,noncontextual_hidden_assignment_fit,1.751003855,-0.248996145,0.350200771,0.052920385964,0.808736151,-0.024597182,0.0
20260711,strong_classical_table_baseline,1.88629915,-0.11370085,0.37725983,0.0,0.81020825,-0.023125083,0.0
20260712,full_witness_table_anchor,2.318821262,0.318821262,0.463764252,0.0,0.930908975,0.097575641,0.0
20260712,additive_boundary_table,1.600579022,-0.399420978,0.320115804,0.0,0.650214883,-0.18311845,0.0
20260712,same_marginals_independent_table,1.243688527,-0.756311473,0.248737705,0.0,0.622497499,-0.210835834,0.0
20260712,shuffled_context_table,1.995958706,-0.004041294,0.399191741,0.0,0.683653631,-0.149679702,0.0
20260712,noncontextual_hidden_assignment_fit,1.746457221,-0.253542779,0.349291444,0.053579325397,0.807078271,-0.026255062,0.0
20260712,strong_classical_table_baseline,1.8801574,-0.1198426,0.37603148,0.0,0.816704088,-0.016629245,0.0
