source_arm,key,angle_multiplier,n_pair,classification_accuracy_plus_gt_minus,oriented_classification_accuracy,learned_orientation,plus_gt_minus_count,minus_gt_plus_count,tie_count,non_tie_count,mean_plus_minus_margin,mean_abs_plus_minus_margin
quantum,angle_key,-1.5,60,0.0,1.0,minus_gt_plus,0,60,0,60,-1.9937358194018392e-08,1.9937358194018392e-08
quantum,angle_key,-1.0,60,0.0,1.0,minus_gt_plus,0,60,0,60,-4.2734408012279346e-08,4.2734408012279346e-08
quantum,angle_key,1.0,60,0.0,1.0,minus_gt_plus,0,60,0,60,-4.273444205911877e-08,4.273444205911877e-08
quantum,angle_key,1.5,60,0.0,1.0,minus_gt_plus,0,60,0,60,-1.9937371161423318e-08,1.9937371161423318e-08
quantum,phase_shuffled_angle_key,-1.5,60,0.4666666666666667,0.5333333333333333,minus_gt_plus,28,32,0,60,5.138070709638972e-10,2.095017575716914e-08
quantum,phase_shuffled_angle_key,-1.0,60,0.6166666666666667,0.6166666666666667,plus_gt_minus,37,23,0,60,1.1844056047038975e-08,3.372645546543633e-08
quantum,phase_shuffled_angle_key,1.0,60,0.5333333333333333,0.5333333333333333,plus_gt_minus,32,28,0,60,8.6742139397226e-09,2.8708463872817447e-08
quantum,phase_shuffled_angle_key,1.5,60,0.6166666666666667,0.6166666666666667,plus_gt_minus,37,23,0,60,7.578477519606015e-09,2.2058991966389385e-08
classical,angle_key,-1.5,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
classical,angle_key,-1.0,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
classical,angle_key,1.0,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
classical,angle_key,1.5,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
classical,phase_shuffled_angle_key,-1.5,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
classical,phase_shuffled_angle_key,-1.0,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
classical,phase_shuffled_angle_key,1.0,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
classical,phase_shuffled_angle_key,1.5,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
full_dephase,angle_key,-1.5,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
full_dephase,angle_key,-1.0,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
full_dephase,angle_key,1.0,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
full_dephase,angle_key,1.5,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
full_dephase,phase_shuffled_angle_key,-1.5,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
full_dephase,phase_shuffled_angle_key,-1.0,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
full_dephase,phase_shuffled_angle_key,1.0,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
full_dephase,phase_shuffled_angle_key,1.5,60,0.0,0.5,tie,0,0,60,0,0.0,0.0
