source_arm,label,key,angle_multiplier,n_seed,mean_prep_coherence,mean_prep_MI,mean_readout_W,mean_diag_shadow_readout_W,mean_coherence_attributable_readout_W,mean_signed_readout,signed_readout_positive_count,positive_coherence_attributable_seed_count
quantum,plus,angle_key,-1.5,60,0.00029097934965587204,1.4665855539678735e-06,28.14943010814468,28.149428311416514,1.796728168497926e-06,1.796728168497926e-06,60,60
quantum,plus,angle_key,-1.0,60,0.00029097934965587204,1.4665855539678735e-06,25.92329487309373,25.923293875342797,9.97750934731793e-07,9.97750934731793e-07,60,60
quantum,plus,angle_key,1.0,60,0.00029097934965587204,1.4665855539678735e-06,25.923292834857428,25.923293875342797,-1.0404853706920866e-06,-1.0404853706920866e-06,0,0
quantum,plus,angle_key,1.5,60,0.00029097934965587204,1.4665855539678735e-06,28.14942649475097,28.149428311416514,-1.8166655455805388e-06,-1.8166655455805388e-06,0,0
quantum,plus,phase_shuffled_angle_key,-1.5,60,0.00029097934965587204,1.4665855539678735e-06,25.893738501369292,25.893738792461914,-2.9109261987514403e-07,-2.9109261987514403e-07,29,29
quantum,plus,phase_shuffled_angle_key,-1.0,60,0.00029097934965587204,1.4665855539678735e-06,17.73652306002179,17.736523315666222,-2.5564443539849435e-07,-2.5564443539849435e-07,25,25
quantum,plus,phase_shuffled_angle_key,1.0,60,0.00029097934965587204,1.4665855539678735e-06,17.809199978812238,17.809200166446796,-1.8763455914931151e-07,-1.8763455914931151e-07,31,31
quantum,plus,phase_shuffled_angle_key,1.5,60,0.00029097934965587204,1.4665855539678735e-06,25.93489782238296,25.934897542120517,2.8026244483688366e-07,2.8026244483688366e-07,31,31
quantum,minus,angle_key,-1.5,60,0.00029097934965761847,1.4665855538981144e-06,28.149430128082045,28.149428311416518,1.8166655266919444e-06,-1.8166655266919444e-06,0,60
quantum,minus,angle_key,-1.0,60,0.00029097934965761847,1.4665855538981144e-06,25.923294915828137,25.923293875342797,1.0404853427440723e-06,-1.0404853427440723e-06,0,60
quantum,minus,angle_key,1.0,60,0.00029097934965761847,1.4665855538981144e-06,25.923292877591866,25.923293875342793,-9.977509286329677e-07,9.977509286329677e-07,60,0
quantum,minus,angle_key,1.5,60,0.00029097934965761847,1.4665855538981144e-06,28.149426514688347,28.149428311416518,-1.7967281744191155e-06,1.7967281744191155e-06,60,0
quantum,minus,phase_shuffled_angle_key,-1.5,60,0.00029097934965761847,1.4665855538981144e-06,25.893738500855488,25.893738792461914,-2.916064269461079e-07,2.916064269461079e-07,31,29
