grid_id,structure,g_internal,theta_in_RE,theta_out_DW,out_layers,n_seed,resource_attributable_W_mean,resource_attributable_W_std,central_resource_attributable_W_mean,fixed_to_matched_central_ratio_mean,efficiency_resource_to_W_mean,efficiency_resource_to_W_std,net_resource_transfer_mean,initial_internal_energy_change_mean,Q_noise_cum_mean,D_population_mean,D_to_W_flow_cum_mean,max_abs_energy_balance_residual,max_U_DW_commutator_norm,n_efficiency_gt_1,n_outlet_narrow
QFCBM_0001,chain,0.025,0.05,0.05,1,10,1.0887515805397749e-06,6.741306554812412e-08,0.0030642533279291602,0.0003550370110318501,2.715745264758765e-06,8.461204162750271e-08,0.40059875150470814,2.4520293120438934,2.8304248786853075,0.04167243496510678,0.022203184864334768,3.4638958368304884e-14,0.0,0,5
QFCBM_0002,chain,0.025,0.05,0.05,2,10,3.924375337221314e-06,2.3966675235509156e-07,0.011248461771976432,0.0003486227230593517,9.789065722530112e-06,2.9696418094341106e-07,0.40059890015013194,2.452031442694254,2.772315780445913,0.03749644408464157,0.08031456239969591,3.241851231905457e-14,0.0,0,0
QFCBM_0003,chain,0.025,0.05,0.05,4,10,1.097060066841335e-05,6.443607979672237e-07,0.0333071511793182,0.00032915132943062456,2.736718963690319e-05,7.685007245394802e-07,0.40059922162609213,2.4520340361754878,2.620819187511026,0.02651472645957605,0.23181407029189147,3.597122599785507e-14,0.0,0,0
QFCBM_0004,chain,0.025,0.05,0.05,8,10,1.684815137465365e-05,9.333431898802117e-07,0.058066176316720175,0.00028998048434404286,4.203329359074151e-05,1.0431482677480502e-06,0.40059935927110357,2.4520350234412676,2.4195862472468264,0.01138617894934882,0.4330481354669372,3.7303493627405266e-14,0.0,0,0
QFCBM_0005,chain,0.025,0.05,0.1,1,10,3.9243753372587845e-06,2.396667523949471e-07,0.01124846177197642,0.00034862272306257106,9.789065722619056e-06,2.9696418101028373e-07,0.4005989001501689,2.452031442694254,2.772315780445912,0.03749644408464155,0.0803145623996959,3.108624468950438e-14,0.0,0,0
QFCBM_0006,chain,0.025,0.05,0.1,2,10,1.0970600668391145e-05,6.443607980108857e-07,0.03330715117931828,0.0003291513294299592,2.736718963684204e-05,7.685007247583721e-07,0.4005992216261774,2.4520340361754878,2.620819187511024,0.026514726459576032,0.2318140702918913,3.4638958368304884e-14,0.0,0,0
QFCBM_0007,chain,0.025,0.05,0.1,4,10,1.6848151374729976e-05,9.333431898561414e-07,0.05806617631672022,0.0002899804843453641,4.2033293590926265e-05,1.0431482676592105e-06,0.40059935927116613,2.4520350234412676,2.4195862472468255,0.01138617894934882,0.433048135466937,3.6415315207705135e-14,0.0,0,0
QFCBM_0008,chain,0.025,0.05,0.1,8,10,1.0940659177933326e-05,5.845989041926439e-07,0.044741020614195305,0.0002444028687155145,2.7296630803248985e-05,6.2371529203729e-07,0.4005989301251162,2.4520332034938153,2.316096372107382,0.00237863024882442,0.5365357615127806,3.3306690738754696e-14,0.0,0,0
QFCBM_0009,chain,0.025,0.05,0.2,1,10,1.0970600668339104e-05,6.443607979833972e-07,0.03330715117931816,0.00032915132942843453,2.7367189636698652e-05,7.685007247475873e-07,0.40059922162643036,2.4520340361754878,2.620819187511021,0.026514726459575984,0.23181407029189077,3.064215547965432e-14,0.0,0,0
QFCBM_0010,chain,0.025,0.05,0.2,2,10,1.6848151374744545e-05,9.333431897705147e-07,0.05806617631671983,0.0002899804843456618,4.2033293590946e-05,1.0431482674952857e-06,0.4005993592713878,2.4520350234412676,2.4195862472468237,0.01138617894934878,0.43304813546693594,3.2862601528904634e-14,0.0,0,0
