scenario_id,family,pattern,n_steps,delta_l1_coherence,delta_purity,max_abs_part_P1_delta,max_abs_ZZ_delta,max_abs_negativity_delta,part_P1_delta_json,pair_ZZ_delta_json,pair_negativity_delta_json,seed,scope
1,all_24_touch_orders,ABCD,9,2.63899371144,0.0,0.639530905194,0.701037257676,0.309717518301,"{""A"": 0.502158118383, ""B"": 0.232375488492, ""C"": 0.229381179433, ""D"": 0.639530905194}","{""AB"": -0.514073831871, ""AC"": -0.701037257676, ""AD"": -0.228826904716, ""BC"": -0.565420969729, ""BD"": -0.611934895456, ""CD"": -0.31646954583}","{""AB"": 0.024800515296, ""AC"": 0.018690412971, ""AD"": 0.0, ""BC"": 0.309717518301, ""BD"": 0.014343125063, ""CD"": 0.083740694162}",20260710,original_54
2,all_24_touch_orders,ABDC,9,3.020819967942,0.0,0.57541868604,0.61785488673,0.283034628541,"{""A"": 0.474528848795, ""B"": 0.21298502122, ""C"": 0.273469010561, ""D"": 0.57541868604}","{""AB"": -0.488491128459, ""AC"": -0.61785488673, ""AD"": -0.23218547538, ""BC"": -0.556536166638, ""BD"": -0.51665232805, ""CD"": -0.157844695688}","{""AB"": 0.031218827409, ""AC"": 0.008779722451, ""AD"": 0.0, ""BC"": 0.283034628541, ""BD"": 0.004431740851, ""CD"": 0.136152585709}",20260710,original_54
3,all_24_touch_orders,ACBD,9,1.590979083539,0.0,0.642222791328,0.695774591403,0.308127997118,"{""A"": 0.437404932189, ""B"": 0.135370948461, ""C"": 0.356223716145, ""D"": 0.642222791328}","{""AB"": -0.527475144842, ""AC"": -0.645227163985, ""AD"": -0.257317333086, ""BC"": -0.677821151828, ""BD"": -0.695774591403, ""CD"": -0.114216262762}","{""AB"": 0.051594886708, ""AC"": 0.015328645528, ""AD"": 0.0, ""BC"": 0.308127997118, ""BD"": 0.007070741088, ""CD"": 0.042676619675}",20260710,original_54
4,all_24_touch_orders,ACDB,9,3.165508953424,0.0,0.557493411834,0.736972411433,0.290670493802,"{""A"": 0.472274836208, ""B"": 0.205727992371, ""C"": 0.352892021143, ""D"": 0.557493411834}","{""AB"": -0.602896702744, ""AC"": -0.617222588706, ""AD"": -0.282240150346, ""BC"": -0.736972411433, ""BD"": -0.602847341588, ""CD"": -0.059738727291}","{""AB"": 0.049035114697, ""AC"": 0.007393468294, ""AD"": 0.0, ""BC"": 0.290670493802, ""BD"": 0.009940682567, ""CD"": 0.067612838913}",20260710,original_54
5,all_24_touch_orders,ADBC,9,3.877638770365,0.0,0.535369297218,0.663134053348,0.318926416546,"{""A"": 0.44521504265, ""B"": 0.224742804477, ""C"": 0.365470872277, ""D"": 0.535369297218}","{""AB"": -0.587660417465, ""AC"": -0.663134053348, ""AD"": -0.284167801644, ""BC"": -0.564918872689, ""BD"": -0.495620949006, ""CD"": -0.085039699889}","{""AB"": 0.034166161668, ""AC"": 0.012481851803, ""AD"": 0.0, ""BC"": 0.318926416546, ""BD"": 0.007913555958, ""CD"": 0.088298793791}",20260710,original_54
6,all_24_touch_orders,ADCB,9,4.099648623618,0.0,0.476562017633,0.679165033947,0.324716844285,"{""A"": 0.476562017633, ""B"": 0.25289060844, ""C"": 0.304994078449, ""D"": 0.475822890869}","{""AB"": -0.54640976744, ""AC"": -0.679165033947, ""AD"": -0.281789755513, ""BC"": -0.606687842671, ""BD"": -0.43262712453, ""CD"": -0.126402545528}","{""AB"": 0.025824178096, ""AC"": 0.007633958046, ""AD"": 0.0, ""BC"": 0.324716844285, ""BD"": 0.009360416324, ""CD"": 0.078917463617}",20260710,original_54
7,all_24_touch_orders,BACD,9,2.276895995844,0.0,0.627668529134,0.624110691846,0.302382690238,"{""A"": 0.533311056458, ""B"": 0.309417300523, ""C"": 0.176873830218, ""D"": 0.627668529134}","{""AB"": -0.3892419638, ""AC"": -0.624110691846, ""AD"": -0.111586077651, ""BC"": -0.490136652391, ""BD"": -0.450715360063, ""CD"": -0.441042940086}","{""AB"": 0.023884225032, ""AC"": 0.00459795727, ""AD"": 0.0, ""BC"": 0.302382690238, ""BD"": 0.007524748277, ""CD"": 0.11792142885}",20260710,original_54
8,all_24_touch_orders,BADC,9,2.659466197094,0.0,0.591364566607,0.551284275386,0.279582237135,"{""A"": 0.534263154253, ""B"": 0.310328453973, ""C"": 0.22712181818, ""D"": 0.591364566607}","{""AB"": -0.368968018228, ""AC"": -0.551284275386, ""AD"": -0.152752113036, ""BC"": -0.464244950703, ""BD"": -0.395609287393, ""CD"": -0.25484135266}","{""AB"": 0.026802176556, ""AC"": 0.001544545046, ""AD"": 0.0, ""BC"": 0.279582237135, ""BD"": 0.004727556013, ""CD"": 0.151559125478}",20260710,original_54
9,all_24_touch_orders,BCAD,9,1.577540763252,0.0,0.664560006789,0.644096455976,0.274716780518,"{""A"": 0.622102849954, ""B"": 0.295087957432, ""C"": 0.216939306775, ""D"": 0.664560006789}","{""AB"": -0.428801299013, ""AC"": -0.644096455976, ""AD"": -0.012133790548, ""BC"": -0.607970220479, ""BD"": -0.509773373972, ""CD"": -0.389206475481}","{""AB"": 0.043374368641, ""AC"": 0.008334730904, ""AD"": 0.0, ""BC"": 0.274716780518, ""BD"": 0.001967267585, ""CD"": 0.095511595993}",20260710,original_54
10,all_24_touch_orders,BCDA,9,1.959052165746,0.0,0.707986500707,0.704760451327,0.24229253857,"{""A"": 0.707986500707, ""B"": 0.296630877771, ""C"": 0.199518392335, ""D"": 0.551775030516}","{""AB"": -0.44813273113, ""AC"": -0.704760451327, ""AD"": 0.012903392732, ""BC"": -0.62713406477, ""BD"": -0.432497698112, ""CD"": -0.328555192621}","{""AB"": 0.054703541873, ""AC"": 0.002534788356, ""AD"": 0.0, ""BC"": 0.24229253857, ""BD"": 0.0, ""CD"": 0.13988889036}",20260710,original_54
11,all_24_touch_orders,BDAC,9,2.858423684866,0.0,0.607948987852,0.589638193501,0.27738447729,"{""A"": 0.607948987852, ""B"": 0.333063682994, ""C"": 0.204323232127, ""D"": 0.546871096365}","{""AB"": -0.387550626442, ""AC"": -0.589638193501, ""AD"": -0.104543266129, ""BC"": -0.481104535619, ""BD"": -0.371378946227, ""CD"": -0.244601452391}","{""AB"": 0.032284148452, ""AC"": 0.003938255009, ""AD"": 0.0, ""BC"": 0.27738447729, ""BD"": 0.006133621417, ""CD"": 0.145823590007}",20260710,original_54
12,all_24_touch_orders,BDCA,9,2.225731718406,0.0,0.712136980296,0.807855380781,0.257722549562,"{""A"": 0.712136980296, ""B"": 0.323729992527, ""C"": 0.140346713098, ""D"": 0.491091123524}","{""AB"": -0.410891781535, ""AC"": -0.807855380781, ""AD"": -0.068593009885, ""BC"": -0.541197264906, ""BD"": -0.367502272416, ""CD"": -0.34394781628}","{""AB"": 0.038072592845, ""AC"": 0.003678519825, ""AD"": 0.0, ""BC"": 0.257722549562, ""BD"": 0.002692149569, ""CD"": 0.162662205594}",20260710,original_54
13,all_24_touch_orders,CABD,9,1.178849867424,0.0,0.641067273478,0.830543328042,0.218478369197,"{""A"": 0.506853114552, ""B"": 0.068201453522, ""C"": 0.444118894609, ""D"": 0.641067273478}","{""AB"": -0.564500991122, ""AC"": -0.522834554014, ""AD"": -0.161698273022, ""BC"": -0.71784077084, ""BD"": -0.830543328042, ""CD"": 0.021057434124}","{""AB"": 0.055258815291, ""AC"": 0.016060779399, ""AD"": 0.0, ""BC"": 0.218478369197, ""BD"": 0.0, ""CD"": 0.07304398903}",20260710,original_54
14,all_24_touch_orders,CADB,9,2.326132537982,0.0,0.569135556265,0.735236335274,0.213993003745,"{""A"": 0.497615710114, ""B"": 0.123524563562, ""C"": 0.436449683205, ""D"": 0.569135556265}","{""AB"": -0.561066815078, ""AC"": -0.443502093427, ""AD"": -0.192057948661, ""BC"": -0.735236335274, ""BD"": -0.71817463947, ""CD"": 0.046916338824}","{""AB"": 0.026454465192, ""AC"": 0.007590833164, ""AD"": 0.0, ""BC"": 0.213993003745, ""BD"": 0.000835887871, ""CD"": 0.097907799564}",20260710,original_54
