condition,window,t0,t1,mean_store_before_action,mean_action_allowed,mean_starved,mean_resource_attributable_W_cycle,mean_cumulative_resource_attributable_W
supply_always_on_initial_zero,early,0,59,0.7773608740977264,1.0,0.0,0.16451163886371833,5.49326978696163
supply_always_on_initial_zero,middle,60,119,1.0,1.0,0.0,0.12864395345127863,12.742428972345758
supply_always_on_initial_zero,late,120,199,1.0,1.0,0.0,0.15949148026749696,25.034924428939433
supply_never_on_initial_positive,early,0,59,0.1976373096073213,0.3527777777777778,0.6472222222222223,0.0505927842950451,2.3878759932722473
supply_never_on_initial_positive,middle,60,119,0.012210905496033889,0.006388888888888889,0.9936111111111111,0.00010986216367955098,3.0399987209985353
supply_never_on_initial_positive,late,120,199,0.007329173941447841,0.00020833333333333335,0.9997916666666666,2.227359172484592e-08,3.0421604616269153
supply_never_on_initial_zero,early,0,59,0.0,0.0,1.0,-7.508362246813598e-20,-1.5970599167981615e-18
supply_never_on_initial_zero,middle,60,119,0.0,0.0,1.0,-1.3159760855250433e-37,-1.8539857149502127e-18
supply_never_on_initial_zero,late,120,199,0.0,0.0,1.0,-7.011158841782236e-58,-1.8539857149502127e-18
supply_restart_after_stop_initial_zero,early,0,59,0.7773608740977264,1.0,0.0,0.16451163886371833,5.49326978696163
supply_restart_after_stop_initial_zero,middle,60,119,0.17189289332477853,0.3013888888888889,0.6986111111111111,0.008135467387515508,10.23710848475336
supply_restart_after_stop_initial_zero,late,120,199,0.8524162166918807,1.0,0.0,0.1514959574522972,17.218623394480304
supply_stop_midway_initial_zero,early,0,59,0.7773608740977264,1.0,0.0,0.16451163886371833,5.49326978696163
supply_stop_midway_initial_zero,middle,60,119,0.5189169810320582,0.6880555555555555,0.31194444444444447,0.07539764002208899,12.226241853328247
supply_stop_midway_initial_zero,late,120,199,0.008047302269482366,0.004791666666666666,0.9952083333333334,0.0002651664483316514,14.410618425940154
