scenario_id,family,pattern,n_steps,delta_l1_coherence,delta_purity,max_abs_part_P1_delta,max_abs_ZZ_delta,max_abs_negativity_delta,part_P1_delta_json,pair_ZZ_delta_json,pair_negativity_delta_json
1,all_24_touch_orders,ABCD,9,2.552280988145,0.0,0.628880335834,0.683985410481,0.310988868556,"{""A"": 0.484942773529, ""B"": 0.228835433533, ""C"": 0.23316173216, ""D"": 0.628880335834}","{""AB"": -0.496907801493, ""AC"": -0.683985410481, ""AD"": -0.218840154262, ""BC"": -0.567481459472, ""BD"": -0.594676379915, ""CD"": -0.310304287894}","{""AB"": 0.022390888126, ""AC"": 0.017155551082, ""AD"": 0.0, ""BC"": 0.310988868556, ""BD"": 0.013999604413, ""CD"": 0.086692429411}"
2,all_24_touch_orders,ABDC,9,3.196375327014,0.0,0.582724347302,0.635678619471,0.283915720824,"{""A"": 0.484614915627, ""B"": 0.22223885284, ""C"": 0.280292386975, ""D"": 0.582724347302}","{""AB"": -0.509205525637, ""AC"": -0.635678619471, ""AD"": -0.238460069563, ""BC"": -0.560107916876, ""BD"": -0.529335471676, ""CD"": -0.163361207041}","{""AB"": 0.031007366966, ""AC"": 0.010393352626, ""AD"": 0.0, ""BC"": 0.283915720824, ""BD"": 0.00585979877, ""CD"": 0.133240326458}"
3,all_24_touch_orders,ACBD,9,1.829600476487,0.0,0.645716156204,0.707289590842,0.306706812816,"{""A"": 0.451574682971, ""B"": 0.155487325972, ""C"": 0.362870165199, ""D"": 0.645716156204}","{""AB"": -0.572506667359, ""AC"": -0.658567665684, ""AD"": -0.262010982114, ""BC"": -0.692797431447, ""BD"": -0.707289590842, ""CD"": -0.101884814133}","{""AB"": 0.053019411554, ""AC"": 0.017753933724, ""AD"": 0.0, ""BC"": 0.306706812816, ""BD"": 0.007546325245, ""CD"": 0.042195476266}"
4,all_24_touch_orders,ACDB,9,3.02784690773,0.0,0.561286292038,0.725554163448,0.292144658606,"{""A"": 0.45204383872, ""B"": 0.193548190513, ""C"": 0.358516664697, ""D"": 0.561286292038}","{""AB"": -0.559265374451, ""AC"": -0.619042944837, ""AD"": -0.284424461734, ""BC"": -0.725554163448, ""BD"": -0.598660474893, ""CD"": -0.080439320402}","{""AB"": 0.0438445347, ""AC"": 0.007954939137, ""AD"": 0.0, ""BC"": 0.292144658606, ""BD"": 0.012249727088, ""CD"": 0.06790175991}"
5,all_24_touch_orders,ADBC,9,3.783594335524,0.0,0.539551382863,0.662255588323,0.318047014846,"{""A"": 0.452245318979, ""B"": 0.215858137871, ""C"": 0.355906839548, ""D"": 0.539551382863}","{""AB"": -0.583229757434, ""AC"": -0.662255588323, ""AD"": -0.289338907246, ""BC"": -0.558934743357, ""BD"": -0.500654142423, ""CD"": -0.085604864297}","{""AB"": 0.037395310567, ""AC"": 0.012053310947, ""AD"": 0.0, ""BC"": 0.318047014846, ""BD"": 0.007434714931, ""CD"": 0.08711830323}"
6,all_24_touch_orders,ADCB,9,4.151422298756,0.0,0.497466799783,0.660398977245,0.330305630898,"{""A"": 0.456672540194, ""B"": 0.260913257691, ""C"": 0.31650360039, ""D"": 0.497466799783}","{""AB"": -0.547908074356, ""AC"": -0.660398977245, ""AD"": -0.297373286229, ""BC"": -0.613289395854, ""BD"": -0.472807930667, ""CD"": -0.13660559747}","{""AB"": 0.021922400374, ""AC"": 0.008950563431, ""AD"": 0.0, ""BC"": 0.330305630898, ""BD"": 0.014536738741, ""CD"": 0.071982489818}"
7,all_24_touch_orders,BACD,9,2.311528761644,0.0,0.627619532675,0.633159309881,0.301327886162,"{""A"": 0.55477536309, ""B"": 0.311496337682, ""C"": 0.165392789837, ""D"": 0.627619532675}","{""AB"": -0.40549979945, ""AC"": -0.633159309881, ""AD"": -0.109577190502, ""BC"": -0.490545319377, ""BD"": -0.455654922557, ""CD"": -0.432461547769}","{""AB"": 0.02534832784, ""AC"": 0.004638124809, ""AD"": 0.0, ""BC"": 0.301327886162, ""BD"": 0.0062032287, ""CD"": 0.117649246751}"
8,all_24_touch_orders,BADC,9,2.822216873625,0.0,0.579922524135,0.568445882629,0.279304462413,"{""A"": 0.554465329234, ""B"": 0.320504679148, ""C"": 0.230225784664, ""D"": 0.579922524135}","{""AB"": -0.396218049202, ""AC"": -0.568445882629, ""AD"": -0.143248386361, ""BC"": -0.474374287887, ""BD"": -0.389053150242, ""CD"": -0.239140823023}","{""AB"": 0.026630335295, ""AC"": 0.002192884002, ""AD"": 0.0, ""BC"": 0.279304462413, ""BD"": 0.003819519862, ""CD"": 0.153416547098}"
9,all_24_touch_orders,BCAD,9,1.504982600496,0.0,0.643825850054,0.636185893892,0.271339670988,"{""A"": 0.61724304786, ""B"": 0.288902497098, ""C"": 0.210501294954, ""D"": 0.643825850054}","{""AB"": -0.414480312322, ""AC"": -0.636185893892, ""AD"": 0.001769250918, ""BC"": -0.600562436374, ""BD"": -0.479870839916, ""CD"": -0.373564776544}","{""AB"": 0.044467835573, ""AC"": 0.007112831396, ""AD"": 0.0, ""BC"": 0.271339670988, ""BD"": 0.000405721708, ""CD"": 0.101299163492}"
10,all_24_touch_orders,BCDA,9,1.842846773868,0.0,0.687222537666,0.686583895138,0.246302528695,"{""A"": 0.687222537666, ""B"": 0.293600383946, ""C"": 0.205441633324, ""D"": 0.563566346472}","{""AB"": -0.432066640473, ""AC"": -0.686583895138, ""AD"": 0.01408741331, ""BC"": -0.631595968462, ""BD"": -0.449982454983, ""CD"": -0.33710698407}","{""AB"": 0.051571112344, ""AC"": 0.003213687756, ""AD"": 0.0, ""BC"": 0.246302528695, ""BD"": 0.000693034151, ""CD"": 0.136359029738}"
