t,arm,external_toxicity,external_pressure,internal_toxicity,internal_pressure,internal_resource,boundary_open,resource_intake,neg_M_C,neg_C_R,neg_R_W
0,coherent_internal_feedback,0.200009225,0.250006269,0.193766374,0.328638466,0.723599262,0.548,0.39456,0.0,0.0,0.0
8,coherent_internal_feedback,0.200697986,0.250195311,0.195850095,0.330193695,0.722776657,0.5939975,0.45619008,1.6e-07,0.0,0.0
16,coherent_internal_feedback,0.211935053,0.254480756,0.199276703,0.332115265,0.713747476,0.612286465,0.489829172,1.3962e-05,1.1e-08,0.0
24,coherent_internal_feedback,0.328310943,0.294912538,0.212713303,0.335469106,0.69280264,0.5939975,0.492017984,0.001754618781,2.543e-06,0.0
32,coherent_internal_feedback,0.552192804,0.432319361,0.241986883,0.343223279,0.65866432,0.548,0.39456,0.01648161172,0.00022478723,1e-12
40,coherent_internal_feedback,0.736796262,0.614652759,0.263795393,0.35446871,0.629029647,0.5020025,0.32128112,0.042964771578,0.005030304064,9.231e-09
48,coherent_internal_feedback,0.481842576,0.661664855,0.232295736,0.355553147,0.662168321,0.483713535,0.309576662,0.031251767392,0.018607118995,9.289e-07
56,coherent_internal_feedback,0.245529514,0.525533371,0.200258286,0.344332703,0.701290355,0.5020025,0.36144144,0.004686701988,0.028500993937,5.7828e-05
64,coherent_internal_feedback,0.201278785,0.342525421,0.194500059,0.333129517,0.723397166,0.548,0.39456,0.00012293754,0.012329028419,0.001591944743
72,coherent_internal_feedback,0.214688077,0.270227373,0.197474116,0.329439844,0.726836077,0.5939975,0.45619008,5.2e-07,0.001166552998,0.017081088922
80,coherent_internal_feedback,0.393748224,0.252558975,0.220354173,0.330073584,0.700563694,0.612286465,0.489829172,0.0,2.422222e-05,0.006566636847
88,coherent_internal_feedback,0.505493221,0.250164596,0.235323129,0.330113164,0.686594516,0.5939975,0.492017984,0.0,1.1e-07,0.000725444395
96,coherent_internal_feedback,0.482234849,0.250006676,0.231137903,0.329580226,0.693120276,0.548,0.39456,0.0,0.0,2.2997337e-05
104,coherent_internal_feedback,0.366288931,0.250000101,0.212907001,0.328843825,0.711256885,0.5020025,0.32128112,0.0,0.0,2.09e-07
112,coherent_internal_feedback,0.241017418,0.250000001,0.196810616,0.328373529,0.723460973,0.483713535,0.309576662,0.0,0.0,0.0
120,coherent_internal_feedback,0.203490774,0.25,0.191843261,0.328340874,0.727945394,0.5020025,0.36144144,0.0,0.0,0.0
0,measurement_internal_feedback,0.200009225,0.250006269,0.214756822,0.347834676,0.680879262,0.431,0.31032,0.0,0.0,0.0
8,measurement_internal_feedback,0.200697986,0.250195311,0.216446301,0.349039286,0.680288061,0.471392258,0.361964454,1e-08,0.0,0.0
16,measurement_internal_feedback,0.211935053,0.254480756,0.219208032,0.350494447,0.6718182,0.487188149,0.389750519,2.24e-06,0.0,0.0
24,measurement_internal_feedback,0.328310943,0.294912538,0.232938188,0.354204789,0.651380101,0.471392258,0.390474197,0.000370881183,2.2e-08,0.0
32,measurement_internal_feedback,0.552192804,0.432319361,0.261725107,0.362703972,0.6178924,0.431,0.31032,0.005311741763,5.5517e-05,0.0
40,measurement_internal_feedback,0.736796262,0.614652759,0.282102477,0.374059789,0.588740447,0.390607742,0.250404139,0.024532130872,0.002403080189,3e-12
48,measurement_internal_feedback,0.481842576,0.661664855,0.247988705,0.374056222,0.622875021,0.374811851,0.23985226,0.016209122585,0.008804553943,2.265e-08
56,measurement_internal_feedback,0.245529514,0.525533371,0.214597457,0.362317881,0.663491767,0.390607742,0.281237574,0.001354897207,0.014300348529,1.01943e-05
64,measurement_internal_feedback,0.201278785,0.342525421,0.208221067,0.350359856,0.686817166,0.431,0.31032,1.9737176e-05,0.004759426116,0.00113906378
72,measurement_internal_feedback,0.214688077,0.270227373,0.210629647,0.346491056,0.691888979,0.471392258,0.361964454,5e-10,0.00026254948,0.007163339361
80,measurement_internal_feedback,0.393748224,0.252558975,0.232970484,0.347244005,0.667018839,0.487188149,0.389750519,0.0,3.177586e-06,0.001997989804
88,measurement_internal_feedback,0.505493221,0.250164596,0.247862911,0.347969485,0.653393787,0.471392258,0.390474197,0.0,1.1e-08,0.000159034587
96,measurement_internal_feedback,0.482234849,0.250006676,0.243907838,0.347598187,0.660022276,0.431,0.31032,0.0,0.0,3.628987e-06
104,measurement_internal_feedback,0.366288931,0.250000101,0.22619869,0.346896604,0.678724085,0.390607742,0.250404139,0.0,0.0,2.4e-08
112,measurement_internal_feedback,0.241017418,0.250000001,0.209854185,0.346294297,0.691481773,0.374811851,0.23985226,0.0,0.0,0.0
120,measurement_internal_feedback,0.203490774,0.25,0.204611013,0.346114368,0.696622194,0.390607742,0.281237574,0.0,0.0,0.0
