mode,profile,scale,n,M_C_peak_time,M_C_peak_value,M_C_onset_time,M_C_offset_time,M_C_duration_gt_threshold,C_R_peak_time,C_R_peak_value,C_R_onset_time,C_R_offset_time,C_R_duration_gt_threshold,R_W_peak_time,R_W_peak_value,R_W_onset_time,R_W_offset_time,R_W_duration_gt_threshold,lag_peak_CR_minus_MC,lag_peak_RW_minus_CR,lag_onset_CR_minus_MC,lag_onset_RW_minus_CR,travel_label,negativity_raster_by_4_steps
direct_entangling,left_to_right_wave,weak,120,32,0.046533118956,17,46,30,56,0.02186629901,46,66,21,74,0.01728340788,67,80,14,24,18,29,21,left_to_right_peak_travel,"░░░ ░░░ ░░░ ░░░ ▒░░ ▒░░ ▒░░ █░░ █░░ █░░ ▒░░ ▒▒░ ░▒░ ░▒░ ░▒░ ░▒░ ░▒▒ ░░▒ ░░▒ ░░▒ ░░▒ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░"
direct_entangling,left_to_right_wave,medium,120,32,0.069180405344,15,47,33,56,0.031486878512,42,69,28,74,0.025019349203,63,83,21,24,18,27,21,left_to_right_peak_travel,"░░░ ░░░ ░░░ ░░░ █░░ █░░ █░░ █░░ █░░ █░░ █▒░ ▒▒░ ░▒░ ░▒░ ░▒░ ░▒▒ ░▒▒ ░░▒ ░░▒ ░░▒ ░░▒ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░"
direct_entangling,left_to_right_wave,strong,120,32,0.091827691733,14,48,35,56,0.041107458014,40,71,32,73,0.032765290526,59,86,28,24,17,26,19,left_to_right_peak_travel,"░░░ ░░░ ░░░ █░░ █░░ █░░ █░░ █░░ █░░ █░░ █▒░ ▒▒░ ░▒░ ░▒░ ░▒░ ░▒▒ ░▒▒ ░░▒ ░░▒ ░░▒ ░░▒ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░"
direct_entangling,simultaneous_burst,weak,120,54,0.04423500491,40,67,28,55,0.032202176115,42,69,28,54,0.021358249448,43,66,24,1,-1,2,1,near_simultaneous_peaks,"░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ▒▒▒ █▒▒ █▒▒ █▒▒ █▒▒ ▒▒▒ ▒▒▒ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░"
direct_entangling,simultaneous_burst,medium,120,54,0.065525157382,38,69,32,55,0.047518386948,39,71,33,54,0.031339737403,39,70,32,1,-1,1,0,near_simultaneous_peaks,"░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░▒▒ ███ ███ ███ ███ ███ █▒▒ ▒▒▒ ▒▒░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░"
direct_entangling,simultaneous_burst,strong,120,54,0.086815309855,36,70,35,55,0.062834597781,37,73,37,54,0.041323446763,36,73,38,1,-1,1,-1,near_simultaneous_peaks,"░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ▒▒▒ ███ ███ ███ ███ ███ ███ █▒▒ ▒▒▒ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░"
direct_entangling,right_to_left_wave,weak,120,75,0.053429119588,57,91,35,57,0.03304121586,39,72,34,32,0.011823349321,,0,0,-18,-25,, ,right_to_left_peak_travel,"░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░▒░ ░▒░ ░▒░ ░▒░ ░▒░ ░▒░ ░▒░ ░▒░ ░▒░ ░▒░ ░░░ ▒░░ █░░ █░░ █░░ ▒░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░"
direct_entangling,right_to_left_wave,medium,120,75,0.079669134216,55,94,40,58,0.048731564142,36,76,41,32,0.016744293428,24,40,17,-17,-26,-19,-12,right_to_left_peak_travel,"░░░ ░░░ ░░░ ░░░ ░░░ ░░▒ ░░▒ ░▒▒ ░▒▒ ░▒▒ ░▒░ ░▒░ ░▒░ ░▒░ ▒▒░ ▒▒░ ▒▒░ ▒░░ █░░ █░░ █░░ █░░ ▒░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░"
direct_entangling,right_to_left_wave,strong,120,75,0.105909148844,52,96,45,58,0.064426720453,33,78,46,31,0.021688315073,20,45,26,-17,-27,-19,-13,right_to_left_peak_travel,"░░░ ░░░ ░░░ ░░░ ░░░ ░░▒ ░░▒ ░▒▒ ░▒▒ ░▒▒ ░▒░ ░▒░ ░▒░ ░▒░ ▒▒░ ▒▒░ ▒▒░ █░░ █░░ █░░ █░░ █░░ █░░ ▒░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░"
direct_entangling,double_pulse_wave,weak,120,29,0.048233143056,17,41,25,52,0.02108111455,45,59,15,70,0.017938132983,63,75,13,23,18,28,18,left_to_right_peak_travel,"░░░ ░░░ ░░░ ░░░ ▒░░ █░░ █░░ █░░ ▒░░ ▒░░ ░░░ ░▒░ ░▒░ ░▒░ ░▒░ ░░░ ░░▒ ░░▒ ░░▒ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░ ░░░"
