condition,recovery_mode,touch_type,target,touch_index,touch_time,pre_coherence_residual,pre_population_bias,pre_baseline_negativity,pre_fatigue_index,peak_time_M_C,peak_neg_M_C,peak_time_C_R,peak_neg_C_R,peak_time_R_W,peak_neg_R_W,next_link_lag,mean_adjacent_peak,outer_peak
high_energy,passive_recovery,unitary_touch,C,1,20,0.86,0.02,0.006,0.02,25,0.08344562886,25,0.068425415665,38,0.028371513812,13,0.075935522263,0.028371513812
high_energy,passive_recovery,unitary_touch,C,2,60,0.7084,0.04018,0.013692,0.0724375,65,0.066119983647,65,0.054218386591,78,0.02248079444,13,0.060169185119,0.02248079444
high_energy,passive_recovery,unitary_touch,C,3,100,0.568928,0.0599564,0.016615646,0.122253125,105,0.051119238751,105,0.041917775776,118,0.017380541175,13,0.046518507263,0.017380541175
high_energy,passive_recovery,unitary_touch,C,4,140,0.44061376,0.079337272,0.016381787,0.169577969,145,0.038140257241,145,0.031275010938,158,0.012967687462,13,0.034707634089,0.012967687462
high_energy,passive_recovery,measurement_touch,C,1,20,0.86,0.02,0.006,0.02,25,0.073098370881,25,0.059940664123,38,0.0248534461,13,0.066519517502,0.0248534461
high_energy,passive_recovery,measurement_touch,C,2,60,0.6118,0.14308,0.012369,0.133,65,0.04471737663,65,0.036668248836,78,0.015203908054,13,0.040692812733,0.015203908054
high_energy,passive_recovery,measurement_touch,C,3,100,0.383456,0.2636984,0.01251348,0.24035,105,0.024019153479,105,0.019695705853,118,0.008166512183,13,0.021857429666,0.008166512183
high_energy,passive_recovery,measurement_touch,C,4,140,0.17337952,0.381904432,0.008610307,0.3423325,145,0.009272424274,145,0.007603387904,158,0.003152624253,13,0.008437906089,0.003152624253
high_energy,active_recovery,unitary_touch,C,1,20,0.86,0.02,0.006,0.02,25,0.08344562886,25,0.068425415665,38,0.028371513812,13,0.075935522263,0.028371513812
high_energy,active_recovery,unitary_touch,C,2,60,0.8085,0.01722,0.008802,0.0419375,65,0.077589357453,65,0.063623273111,78,0.026380381534,13,0.070606315282,0.026380381534
high_energy,active_recovery,unitary_touch,C,3,100,0.785325,0.0160524,0.009497672,0.054003125,105,0.074893018206,105,0.061412274929,118,0.02546362619,13,0.068152646567,0.02546362619
high_energy,active_recovery,unitary_touch,C,4,140,0.77489625,0.015562008,0.009541564,0.060639219,145,0.073636863556,145,0.060382228116,158,0.025036533609,13,0.067009545836,0.025036533609
high_energy,active_recovery,measurement_touch,C,1,20,0.86,0.02,0.006,0.02,25,0.073098370881,25,0.059940664123,38,0.0248534461,13,0.066519517502,0.0248534461
high_energy,active_recovery,measurement_touch,C,2,60,0.76125,0.06132,0.0079515,0.077,65,0.060898214372,65,0.049936535785,78,0.020705392887,13,0.055417375079,0.020705392887
high_energy,active_recovery,measurement_touch,C,3,100,0.7168125,0.0786744,0.00764505,0.10835,105,0.055635183606,105,0.045620850557,118,0.018915962426,13,0.050628017082,0.018915962426
high_energy,active_recovery,measurement_touch,C,4,140,0.696815625,0.085963248,0.006935591,0.1255925,145,0.053265696539,145,0.043677871162,158,0.018110336823,13,0.048471783851,0.018110336823
high_energy,full_reset_baseline,unitary_touch,C,1,20,0.86,0.02,0.006,0.02,25,0.08344562886,25,0.068425415665,38,0.028371513812,13,0.075935522263,0.028371513812
high_energy,full_reset_baseline,unitary_touch,C,2,60,0.86,0.02,0.006,0.02,65,0.08344562886,65,0.068425415665,78,0.028371513812,13,0.075935522263,0.028371513812
high_energy,full_reset_baseline,unitary_touch,C,3,100,0.86,0.02,0.006,0.02,105,0.08344562886,105,0.068425415665,118,0.028371513812,13,0.075935522263,0.028371513812
high_energy,full_reset_baseline,unitary_touch,C,4,140,0.86,0.02,0.006,0.02,145,0.08344562886,145,0.068425415665,158,0.028371513812,13,0.075935522263,0.028371513812
high_energy,full_reset_baseline,measurement_touch,C,1,20,0.86,0.02,0.006,0.02,25,0.073098370881,25,0.059940664123,38,0.0248534461,13,0.066519517502,0.0248534461
high_energy,full_reset_baseline,measurement_touch,C,2,60,0.86,0.02,0.006,0.02,65,0.073098370881,65,0.059940664123,78,0.0248534461,13,0.066519517502,0.0248534461
high_energy,full_reset_baseline,measurement_touch,C,3,100,0.86,0.02,0.006,0.02,105,0.073098370881,105,0.059940664123,118,0.0248534461,13,0.066519517502,0.0248534461
high_energy,full_reset_baseline,measurement_touch,C,4,140,0.86,0.02,0.006,0.02,145,0.073098370881,145,0.059940664123,158,0.0248534461,13,0.066519517502,0.0248534461
high_toxicity,passive_recovery,unitary_touch,C,1,20,0.7,0.02,0.006,0.02,25,0.05063191434,25,0.041518169759,38,0.017214850876,13,0.046075042049,0.017214850876
