condition,recovery_mode,touch_type,target,touch_index,pre_coherence_residual,pre_population_bias,pre_baseline_negativity,pre_fatigue_index,state_distance,mean_adjacent_peak,peak_neg_M_C,peak_neg_C_R,peak_neg_R_W
high_energy,gentle_recovery,unitary_touch,C,1,0.82,0.02,0.006,0.02,0.0,0.08398468331,0.092383151641,0.075586214979,0.030234485992
high_energy,gentle_recovery,unitary_touch,C,3,0.784216,0.030437,0.008639722,0.042365,0.063345461,0.080820298313,0.088902328144,0.072738268482,0.029095307393
high_energy,gentle_recovery,unitary_touch,C,6,0.777119555,0.032506796,0.009079006,0.046800278,0.0758656072,0.080121699182,0.0881338691,0.072109529263,0.028843811705
high_energy,strong_recovery,unitary_touch,C,1,0.82,0.02,0.006,0.02,0.0,0.08398468331,0.092383151641,0.075586214979,0.030234485992
high_energy,strong_recovery,unitary_touch,C,3,0.764,0.0083,0,0.03232,0.078216,0.073907106598,0.081297817258,0.066516395939,0.026606558375
high_energy,strong_recovery,unitary_touch,C,6,0.839208,0.023213113,0.007785063,0.02422576,0.0260516299,0.087000484384,0.095700532822,0.078300435945,0.031320174378
high_energy,extreme_recovery,unitary_touch,C,1,0.82,0.02,0.006,0.02,0.0,0.08398468331,0.092383151641,0.075586214979,0.030234485992
high_energy,extreme_recovery,unitary_touch,C,3,0.698,0.13046875,0,0.196313,0.3544254,0.057938103535,0.063731913889,0.052144293182,0.020857717273
high_energy,extreme_recovery,unitary_touch,C,6,1.041533456,0.424455566,0.050306691,0.648256006,1.0698560591,0.079250066531,0.087175073184,0.071325059878,0.028530023951
high_energy,full_reset_baseline,unitary_touch,C,1,0.82,0.02,0.006,0.02,0.0,0.08398468331,0.092383151641,0.075586214979,0.030234485992
high_energy,full_reset_baseline,unitary_touch,C,3,0.82,0.02,0.006,0.02,0.0,0.08398468331,0.092383151641,0.075586214979,0.030234485992
high_energy,full_reset_baseline,unitary_touch,C,6,0.82,0.02,0.006,0.02,0.0,0.08398468331,0.092383151641,0.075586214979,0.030234485992
high_toxicity,weak_recovery,measurement_touch,C,1,0.62,0.02,0.006,0.02,0.0,0.041485990364,0.045634589401,0.037337391328,0.014934956531
high_toxicity,weak_recovery,measurement_touch,C,3,0.0512,0.3871255,0.00297648,0.3271424,1.10972608,0.002129140023,0.002342054026,0.001916226021,0.000766490408
high_toxicity,weak_recovery,measurement_touch,C,6,0,0.980157211,0,0.835481525,2.0435109888,0,0.0,0.0,0.0
high_toxicity,oscillatory_recovery,measurement_touch,C,1,0.62,0.02,0.006,0.02,0.0,0.041485990364,0.045634589401,0.037337391328,0.014934956531
high_toxicity,oscillatory_recovery,measurement_touch,C,3,0.4861,0,0,0.09017,0.209036,0.02996030879,0.032956339669,0.026964277911,0.010785711164
high_toxicity,oscillatory_recovery,measurement_touch,C,6,0.766316145,0.04813772,0.022882632,0.138894844,0.2723835122,0.05414252306,0.059556775366,0.048728270754,0.019491308301
high_toxicity,extreme_recovery,measurement_touch,C,1,0.62,0.02,0.006,0.02,0.0,0.041485990364,0.045634589401,0.037337391328,0.014934956531
high_toxicity,extreme_recovery,measurement_touch,C,3,0.458,0.4071875,0,0.4644536,0.83031288,0.0165577422,0.01821351642,0.01490196798,0.005960787192
high_toxicity,extreme_recovery,measurement_touch,C,6,1.01858075,0.906860352,0.072430125,1.0,1.9252840941,0.024205932611,0.026626525872,0.02178533935,0.00871413574
