condition,recovery_mode,touch_type,target,n_touches,first_adjacent_mean_peak,last_adjacent_mean_peak,response_ratio_last_over_first,overshoot_max,state_distance_first,state_distance_last,state_distance_ratio_last_over_first,oscillation_envelope_ratio,coherence_first,coherence_last,bias_first,bias_last,fatigue_first,fatigue_last,mechanical_label
high_energy,weak_recovery,unitary_touch,C,6,0.08398468331,0.031786541262,0.378480218,0.0,0.0,0.6576002241,657600224.0999999,0.0,0.82,0.351671079,0.02,0.093850921,0.02,0.182472026,partial_repair_or_fatigue
high_energy,weak_recovery,measurement_touch,C,6,0.073604176453,0,0.0,0.0,0.0,1.4835195958,1483519595.8,0.0,0.82,0,0.02,0.450550869,0.02,0.415102427,collapse_or_exhausted_repair
high_energy,gentle_recovery,unitary_touch,C,6,0.08398468331,0.080121699182,0.954003707,0.0,0.0,0.0758656072,75865607.2,0.0,0.82,0.777119555,0.02,0.032506796,0.02,0.046800278,stable_repair
high_energy,gentle_recovery,measurement_touch,C,6,0.073604176453,0.059902426017,0.813845476,0.0,0.0,0.2156606676,215660667.6,0.0,0.82,0.712798888,0.02,0.09003806,0.02,0.084320667,stable_repair
high_energy,strong_recovery,unitary_touch,C,6,0.08398468331,0.087000484384,1.035908941,0.174949411,0.0,0.0260516299,26051629.9,0.331310936,0.82,0.839208,0.02,0.023213113,0.02,0.02422576,damped_oscillatory_repair
high_energy,strong_recovery,measurement_touch,C,6,0.073604176453,0.076196906892,1.035225317,0.170605691,0.0,0.0260516299,26051629.9,0.331310936,0.82,0.839208,0.02,0.023213113,0.02,0.02422576,damped_oscillatory_repair
high_energy,oscillatory_recovery,unitary_touch,C,6,0.08398468331,0.090851920723,1.081767736,0.257713327,0.0,0.0812575432,81257543.2,0.534286226,0.82,0.864418067,0.02,0.029253764,0.02,0.05332542,damped_oscillatory_repair
high_energy,oscillatory_recovery,measurement_touch,C,6,0.073604176453,0.07947129332,1.079711739,0.25125542,0.0,0.0812575432,81257543.2,0.534286226,0.82,0.864418067,0.02,0.029253764,0.02,0.05332542,damped_oscillatory_repair
high_energy,extreme_recovery,unitary_touch,C,6,0.08398468331,0.079250066531,0.943625235,0.245897274,0.0,1.0698560591,1069856059.0999999,5.290555134,0.82,1.041533456,0.02,0.424455566,0.02,0.648256006,overdrive
high_energy,extreme_recovery,measurement_touch,C,6,0.073604176453,0.034417004726,0.467595813,0.084127444,0.0,1.5962289887,1596228988.7,4.373709417,0.82,1.041533456,0.02,0.730677734,0.02,1.0,overdrive
high_energy,full_reset_baseline,unitary_touch,C,6,0.08398468331,0.08398468331,1.0,0.0,0.0,0.0,0.0,0.0,0.82,0.82,0.02,0.02,0.02,0.02,stable_repair
high_energy,full_reset_baseline,measurement_touch,C,6,0.073604176453,0.073604176453,1.0,0.0,0.0,0.0,0.0,0.0,0.82,0.82,0.02,0.02,0.02,0.02,stable_repair
high_toxicity,weak_recovery,unitary_touch,C,6,0.047336821502,0,0.0,0.0,0.0,1.0361079008,1036107900.8,0.0,0.62,0,0.02,0.19407329,0.02,0.362311586,collapse_or_exhausted_repair
high_toxicity,weak_recovery,measurement_touch,C,6,0.041485990364,0,0.0,0.0,0.0,2.0435109888,2043510988.8,0.0,0.62,0,0.02,0.980157211,0.02,0.835481525,collapse_or_exhausted_repair
high_toxicity,gentle_recovery,unitary_touch,C,6,0.047336821502,0.03600516252,0.760616395,0.0,0.0,0.2187190764,218719076.39999998,0.0,0.62,0.496129987,0.02,0.06032227,0.02,0.097418758,stable_repair
high_toxicity,gentle_recovery,measurement_touch,C,6,0.041485990364,0.015792398849,0.380668238,0.0,0.0,0.6394601843,639460184.3,0.0,0.62,0.310324967,0.02,0.245804711,0.02,0.20580502,partial_repair_or_fatigue
high_toxicity,strong_recovery,unitary_touch,C,6,0.047336821502,0.049740484045,1.050777861,0.240100274,0.0,0.0316987819,31698781.9,0.333317701,0.62,0.64401,0.02,0.023213113,0.02,0.0252822,damped_oscillatory_repair
high_toxicity,strong_recovery,measurement_touch,C,6,0.041485990364,0.043563792298,1.050084424,0.235515695,0.0,0.0316987819,31698781.9,0.333317701,0.62,0.64401,0.02,0.023213113,0.02,0.0252822,damped_oscillatory_repair
high_toxicity,oscillatory_recovery,unitary_touch,C,6,0.047336821502,0.0621374213,1.312665687,0.316634425,0.0,0.2723835122,272383512.2,1.357167475,0.62,0.766316145,0.02,0.04813772,0.02,0.138894844,overdrive
high_toxicity,oscillatory_recovery,measurement_touch,C,6,0.041485990364,0.05414252306,1.305079681,0.309873979,0.0,0.2723835122,272383512.2,1.357167475,0.62,0.766316145,0.02,0.04813772,0.02,0.138894844,overdrive
high_toxicity,extreme_recovery,unitary_touch,C,6,0.047336821502,0.061269680793,1.294334492,0.304973595,0.0,1.3347333485,1334733348.4999998,5.442781668,0.62,1.01858075,0.02,0.455916748,0.02,0.712755172,overdrive
high_toxicity,extreme_recovery,measurement_touch,C,6,0.041485990364,0.024205932611,0.583472454,0.077049961,0.0,1.9252840941,1925284094.1,4.126339725,0.62,1.01858075,0.02,0.906860352,0.02,1.0,overdrive
high_toxicity,full_reset_baseline,unitary_touch,C,6,0.047336821502,0.047336821502,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.02,0.02,0.02,0.02,stable_repair
high_toxicity,full_reset_baseline,measurement_touch,C,6,0.041485990364,0.041485990364,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.02,0.02,0.02,0.02,stable_repair
